titles,summaries,terms
Diminishing Uncertainty within the Training Pool: Active Learning for Medical Image Segmentation,"Active learning is a unique abstraction of machine learning techniques where
the model/algorithm could guide users for annotation of a set of data points
that would be beneficial to the model, unlike passive machine learning. The
primary advantage being that active learning frameworks select data points that
can accelerate the learning process of a model and can reduce the amount of
data needed to achieve full accuracy as compared to a model trained on a
randomly acquired data set. Multiple frameworks for active learning combined
with deep learning have been proposed, and the majority of them are dedicated
to classification tasks. Herein, we explore active learning for the task of
segmentation of medical imaging data sets. We investigate our proposed
framework using two datasets: 1.) MRI scans of the hippocampus, 2.) CT scans of
pancreas and tumors. This work presents a query-by-committee approach for
active learning where a joint optimizer is used for the committee. At the same
time, we propose three new strategies for active learning: 1.) increasing
frequency of uncertain data to bias the training data set; 2.) Using mutual
information among the input images as a regularizer for acquisition to ensure
diversity in the training dataset; 3.) adaptation of Dice log-likelihood for
Stein variational gradient descent (SVGD). The results indicate an improvement
in terms of data reduction by achieving full accuracy while only using 22.69 %
and 48.85 % of the available data for each dataset, respectively.",['cs.CV']
Deep Class-Specific Affinity-Guided Convolutional Network for Multimodal Unpaired Image Segmentation,"Multi-modal medical image segmentation plays an essential role in clinical
diagnosis. It remains challenging as the input modalities are often not
well-aligned spatially. Existing learning-based methods mainly consider sharing
trainable layers across modalities and minimizing visual feature discrepancies.
While the problem is often formulated as joint supervised feature learning,
multiple-scale features and class-specific representation have not yet been
explored. In this paper, we propose an affinity-guided fully convolutional
network for multimodal image segmentation. To learn effective representations,
we design class-specific affinity matrices to encode the knowledge of
hierarchical feature reasoning, together with the shared convolutional layers
to ensure the cross-modality generalization. Our affinity matrix does not
depend on spatial alignments of the visual features and thus allows us to train
with unpaired, multimodal inputs. We extensively evaluated our method on two
public multimodal benchmark datasets and outperform state-of-the-art methods.","['cs.CV', 'cs.AI']"
RatLesNetv2: A Fully Convolutional Network for Rodent Brain Lesion Segmentation,"We present a fully convolutional neural network (ConvNet), named RatLesNetv2,
for segmenting lesions in rodent magnetic resonance (MR) brain images.
RatLesNetv2 architecture resembles an autoencoder and it incorporates residual
blocks that facilitate its optimization. RatLesNetv2 is trained end to end on
three-dimensional images and it requires no preprocessing. We evaluated
RatLesNetv2 on an exceptionally large dataset composed of 916 T2-weighted rat
brain MRI scans of 671 rats at nine different lesion stages that were used to
study focal cerebral ischemia for drug development. In addition, we compared
its performance with three other ConvNets specifically designed for medical
image segmentation. RatLesNetv2 obtained similar to higher Dice coefficient
values than the other ConvNets and it produced much more realistic and compact
segmentations with notably fewer holes and lower Hausdorff distance. The Dice
scores of RatLesNetv2 segmentations also exceeded inter-rater agreement of
manual segmentations. In conclusion, RatLesNetv2 could be used for automated
lesion segmentation, reducing human workload and improving reproducibility.
RatLesNetv2 is publicly available at https://github.com/jmlipman/RatLesNetv2.","['cs.CV', 'eess.IV']"
ICMSC: Intra- and Cross-modality Semantic Consistency for Unsupervised Domain Adaptation on Hip Joint Bone Segmentation,"Unsupervised domain adaptation (UDA) for cross-modality medical image
segmentation has shown great progress by domain-invariant feature learning or
image appearance translation. Adapted feature learning usually cannot detect
domain shifts at the pixel level and is not able to achieve good results in
dense semantic segmentation tasks. Image appearance translation, e.g. CycleGAN,
translates images into different styles with good appearance, despite its
population, its semantic consistency is hardly to maintain and results in poor
cross-modality segmentation. In this paper, we propose intra- and
cross-modality semantic consistency (ICMSC) for UDA and our key insight is that
the segmentation of synthesised images in different styles should be
consistent. Specifically, our model consists of an image translation module and
a domain-specific segmentation module. The image translation module is a
standard CycleGAN, while the segmentation module contains two domain-specific
segmentation networks. The intra-modality semantic consistency (IMSC) forces
the reconstructed image after a cycle to be segmented in the same way as the
original input image, while the cross-modality semantic consistency (CMSC)
encourages the synthesized images after translation to be segmented exactly the
same as before translation. Comprehensive experimental results on
cross-modality hip joint bone segmentation show the effectiveness of our
proposed method, which achieves an average DICE of 81.61% on the acetabulum and
88.16% on the proximal femur, outperforming other state-of-the-art methods. It
is worth to note that without UDA, a model trained on CT for hip joint bone
segmentation is non-transferable to MRI and has almost zero-DICE segmentation.","['cs.CV', 'cs.AI']"
Stochastic Segmentation Networks: Modelling Spatially Correlated Aleatoric Uncertainty,"In image segmentation, there is often more than one plausible solution for a
given input. In medical imaging, for example, experts will often disagree about
the exact location of object boundaries. Estimating this inherent uncertainty
and predicting multiple plausible hypotheses is of great interest in many
applications, yet this ability is lacking in most current deep learning
methods. In this paper, we introduce stochastic segmentation networks (SSNs),
an efficient probabilistic method for modelling aleatoric uncertainty with any
image segmentation network architecture. In contrast to approaches that produce
pixel-wise estimates, SSNs model joint distributions over entire label maps and
thus can generate multiple spatially coherent hypotheses for a single image. By
using a low-rank multivariate normal distribution over the logit space to model
the probability of the label map given the image, we obtain a spatially
consistent probability distribution that can be efficiently computed by a
neural network without any changes to the underlying architecture. We tested
our method on the segmentation of real-world medical data, including lung
nodules in 2D CT and brain tumours in 3D multimodal MRI scans. SSNs outperform
state-of-the-art for modelling correlated uncertainty in ambiguous images while
being much simpler, more flexible, and more efficient.","['cs.CV', 'cs.LG']"
Power-SLIC: Diagram-based superpixel generation,"Superpixel algorithms, which group pixels similar in color and other
low-level properties, are increasingly used for pre-processing in image
segmentation. Commonly important criteria for the computation of superpixels
are boundary adherence, speed, and regularity.
  Boundary adherence and regularity are typically contradictory goals. Most
recent algorithms have focused on improving boundary adherence. Motivated by
improving superpixel regularity, we propose a diagram-based superpixel
generation method called Power-SLIC.
  On the BSDS500 data set, Power-SLIC outperforms other state-of-the-art
algorithms in terms of compactness and boundary precision, and its boundary
adherence is the most robust against varying levels of Gaussian noise. In terms
of speed, Power-SLIC is competitive with SLIC.","['cs.CV', 'cs.CG', 'cs.LG']"
Cloud Cover Nowcasting with Deep Learning,"Nowcasting is a field of meteorology which aims at forecasting weather on a
short term of up to a few hours. In the meteorology landscape, this field is
rather specific as it requires particular techniques, such as data
extrapolation, where conventional meteorology is generally based on physical
modeling. In this paper, we focus on cloud cover nowcasting, which has various
application areas such as satellite shots optimisation and photovoltaic energy
production forecast.
  Following recent deep learning successes on multiple imagery tasks, we
applied deep convolutionnal neural networks on Meteosat satellite images for
cloud cover nowcasting. We present the results of several architectures
specialized in image segmentation and time series prediction. We selected the
best models according to machine learning metrics as well as meteorological
metrics. All selected architectures showed significant improvements over
persistence and the well-known U-Net surpasses AROME physical model.","['cs.CV', 'cs.AI', 'cs.LG']"
Computer Stereo Vision for Autonomous Driving,"As an important component of autonomous systems, autonomous car perception
has had a big leap with recent advances in parallel computing architectures.
With the use of tiny but full-feature embedded supercomputers, computer stereo
vision has been prevalently applied in autonomous cars for depth perception.
The two key aspects of computer stereo vision are speed and accuracy. They are
both desirable but conflicting properties, as the algorithms with better
disparity accuracy usually have higher computational complexity. Therefore, the
main aim of developing a computer stereo vision algorithm for resource-limited
hardware is to improve the trade-off between speed and accuracy. In this
chapter, we introduce both the hardware and software aspects of computer stereo
vision for autonomous car systems. Then, we discuss four autonomous car
perception tasks, including 1) visual feature detection, description and
matching, 2) 3D information acquisition, 3) object detection/recognition and 4)
semantic image segmentation. The principles of computer stereo vision and
parallel computing on multi-threading CPU and GPU architectures are then
detailed.",['cs.CV']
DA-RefineNet:A Dual Input Whole Slide Image Segmentation Algorithm Based on Attention,"Automatic medical image segmentation has wide applications for disease
diagnosing. However, it is much more challenging than natural optical image
segmentation due to the high-resolution of medical images and the corresponding
huge computation cost. The sliding window is a commonly used technique for
whole slide image (WSI) segmentation, however, for these methods based on the
sliding window, the main drawback is lacking global contextual information for
supervision. In this paper, we propose a dual-inputs attention network (denoted
as DA-RefineNet) for WSI segmentation, where both local fine-grained
information and global coarse information can be efficiently utilized.
Sufficient comparative experiments are conducted to evaluate the effectiveness
of the proposed method, the results prove that the proposed method can achieve
better performance on WSI segmentation compared to methods relying on
single-input.","['cs.CV', 'eess.IV']"
Unlabeled Data Guided Semi-supervised Histopathology Image Segmentation,"Automatic histopathology image segmentation is crucial to disease analysis.
Limited available labeled data hinders the generalizability of trained models
under the fully supervised setting. Semi-supervised learning (SSL) based on
generative methods has been proven to be effective in utilizing diverse image
characteristics. However, it has not been well explored what kinds of generated
images would be more useful for model training and how to use such images. In
this paper, we propose a new data guided generative method for histopathology
image segmentation by leveraging the unlabeled data distributions. First, we
design an image generation module. Image content and style are disentangled and
embedded in a clustering-friendly space to utilize their distributions. New
images are synthesized by sampling and cross-combining contents and styles.
Second, we devise an effective data selection policy for judiciously sampling
the generated images: (1) to make the generated training set better cover the
dataset, the clusters that are underrepresented in the original training set
are covered more; (2) to make the training process more effective, we identify
and oversample the images of ""hard cases"" in the data for which annotated
training data may be scarce. Our method is evaluated on glands and nuclei
datasets. We show that under both the inductive and transductive settings, our
SSL method consistently boosts the performance of common segmentation models
and attains state-of-the-art results.",['cs.CV']
CAKES: Channel-wise Automatic KErnel Shrinking for Efficient 3D Networks,"3D Convolution Neural Networks (CNNs) have been widely applied to 3D scene
understanding, such as video analysis and volumetric image recognition.
However, 3D networks can easily lead to over-parameterization which incurs
expensive computation cost. In this paper, we propose Channel-wise Automatic
KErnel Shrinking (CAKES), to enable efficient 3D learning by shrinking standard
3D convolutions into a set of economic operations e.g., 1D, 2D convolutions.
Unlike previous methods, CAKES performs channel-wise kernel shrinkage, which
enjoys the following benefits: 1) enabling operations deployed in every layer
to be heterogeneous, so that they can extract diverse and complementary
information to benefit the learning process; and 2) allowing for an efficient
and flexible replacement design, which can be generalized to both
spatial-temporal and volumetric data. Further, we propose a new search space
based on CAKES, so that the replacement configuration can be determined
automatically for simplifying 3D networks. CAKES shows superior performance to
other methods with similar model size, and it also achieves comparable
performance to state-of-the-art with much fewer parameters and computational
costs on tasks including 3D medical imaging segmentation and video action
recognition. Codes and models are available at
https://github.com/yucornetto/CAKES",['cs.CV']
Unsupervised Image Segmentation using Mutual Mean-Teaching,"Unsupervised image segmentation aims at assigning the pixels with similar
feature into a same cluster without annotation, which is an important task in
computer vision. Due to lack of prior knowledge, most of existing model usually
need to be trained several times to obtain suitable results. To address this
problem, we propose an unsupervised image segmentation model based on the
Mutual Mean-Teaching (MMT) framework to produce more stable results. In
addition, since the labels of pixels from two model are not matched, a label
alignment algorithm based on the Hungarian algorithm is proposed to match the
cluster labels. Experimental results demonstrate that the proposed model is
able to segment various types of images and achieves better performance than
the existing methods.","['cs.CV', 'cs.AI']"
mDALU: Multi-Source Domain Adaptation and Label Unification with Partial Datasets,"Object recognition advances very rapidly these days. One challenge is to
generalize existing methods to new domains, to more classes and/or to new data
modalities. In order to avoid annotating one dataset for each of these new
cases, one needs to combine and reuse existing datasets that may belong to
different domains, have partial annotations, and/or have different data
modalities. This paper treats this task as a multi-source domain adaptation and
label unification (mDALU) problem and proposes a novel method for it. Our
method consists of a partially-supervised adaptation stage and a
fully-supervised adaptation stage. In the former, partial knowledge is
transferred from multiple source domains to the target domain and fused
therein. Negative transfer between unmatched label space is mitigated via three
new modules: domain attention, uncertainty maximization and attention-guided
adversarial alignment. In the latter, knowledge is transferred in the unified
label space after a label completion process with pseudo-labels. We verify the
method on three different tasks, image classification, 2D semantic image
segmentation, and joint 2D-3D semantic segmentation. Extensive experiments show
that our method outperforms all competing methods significantly.",['cs.CV']
Pyramid-Focus-Augmentation: Medical Image Segmentation with Step-Wise Focus,"Segmentation of findings in the gastrointestinal tract is a challenging but
also an important task which is an important building stone for sufficient
automatic decision support systems. In this work, we present our solution for
the Medico 2020 task, which focused on the problem of colon polyp segmentation.
We present our simple but efficient idea of using an augmentation method that
uses grids in a pyramid-like manner (large to small) for segmentation. Our
results show that the proposed methods work as indented and can also lead to
comparable results when competing with other methods.","['cs.CV', 'cs.AI', 'cs.LG', 'cs.MM']"
Meticulous Object Segmentation,"Compared with common image segmentation tasks targeted at low-resolution
images, higher resolution detailed image segmentation receives much less
attention. In this paper, we propose and study a task named Meticulous Object
Segmentation (MOS), which is focused on segmenting well-defined foreground
objects with elaborate shapes in high resolution images (e.g. 2k - 4k). To this
end, we propose the MeticulousNet which leverages a dedicated decoder to
capture the object boundary details. Specifically, we design a Hierarchical
Point-wise Refining (HierPR) block to better delineate object boundaries, and
reformulate the decoding process as a recursive coarse to fine refinement of
the object mask. To evaluate segmentation quality near object boundaries, we
propose the Meticulosity Quality (MQ) score considering both the mask coverage
and boundary precision. In addition, we collect a MOS benchmark dataset
including 600 high quality images with complex objects. We provide
comprehensive empirical evidence showing that MeticulousNet can reveal
pixel-accurate segmentation boundaries and is superior to state-of-the-art
methods for high resolution object segmentation tasks.",['cs.CV']
Domain Adaptation on Semantic Segmentation for Aerial Images,"Semantic segmentation has achieved significant advances in recent years.
While deep neural networks perform semantic segmentation well, their success
rely on pixel level supervision which is expensive and time-consuming. Further,
training using data from one domain may not generalize well to data from a new
domain due to a domain gap between data distributions in the different domains.
This domain gap is particularly evident in aerial images where visual
appearance depends on the type of environment imaged, season, weather, and time
of day when the environment is imaged. Subsequently, this distribution gap
leads to severe accuracy loss when using a pretrained segmentation model to
analyze new data with different characteristics. In this paper, we propose a
novel unsupervised domain adaptation framework to address domain shift in the
context of aerial semantic image segmentation. To this end, we solve the
problem of domain shift by learn the soft label distribution difference between
the source and target domains. Further, we also apply entropy minimization on
the target domain to produce high-confident prediction rather than using
high-confident prediction by pseudo-labeling. We demonstrate the effectiveness
of our domain adaptation framework using the challenge image segmentation
dataset of ISPRS, and show improvement over state-of-the-art methods in terms
of various metrics.",['cs.CV']
Few-shot Medical Image Segmentation using a Global Correlation Network with Discriminative Embedding,"Despite deep convolutional neural networks achieved impressive progress in
medical image computing and analysis, its paradigm of supervised learning
demands a large number of annotations for training to avoid overfitting and
achieving promising results. In clinical practices, massive semantic
annotations are difficult to acquire in some conditions where specialized
biomedical expert knowledge is required, and it is also a common condition
where only few annotated classes are available. In this work, we proposed a
novel method for few-shot medical image segmentation, which enables a
segmentation model to fast generalize to an unseen class with few training
images. We construct our few-shot image segmentor using a deep convolutional
network trained episodically. Motivated by the spatial consistency and
regularity in medical images, we developed an efficient global correlation
module to capture the correlation between a support and query image and
incorporate it into the deep network called global correlation network.
Moreover, we enhance discriminability of deep embedding to encourage clustering
of the feature domains of the same class while keep the feature domains of
different organs far apart. Ablation Study proved the effectiveness of the
proposed global correlation module and discriminative embedding loss. Extensive
experiments on anatomical abdomen images on both CT and MRI modalities are
performed to demonstrate the state-of-the-art performance of our proposed
model.",['cs.CV']
Central object segmentation by deep learning for fruits and other roundish objects,"We present CROP (Central Roundish Object Painter), which identifies and
paints the object at the center of an RGB image. Primarily CROP works for
roundish fruits in various illumination conditions, but surprisingly, it could
also deal with images of other organic or inorganic materials, or ones by
optical and electron microscopes, although CROP was trained solely by 172
images of fruits. The method involves image segmentation by deep learning, and
the architecture of the neural network is a deeper version of the original
U-Net. This technique could provide us with a means of automatically collecting
statistical data of fruit growth in farms. As an example, we describe our
experiment of processing 510 time series photos automatically to collect the
data on the size and the position of the target fruit. Our trained neural
network CROP and the above automatic programs are available on GitHub with
user-friendly interface programs.","['cs.CV', 'cs.LG']"
"Artist, Style And Year Classification Using Face Recognition And Clustering With Convolutional Neural Networks","Artist, year and style classification of fine-art paintings are generally
achieved using standard image classification methods, image segmentation, or
more recently, convolutional neural networks (CNNs). This works aims to use
newly developed face recognition methods such as FaceNet that use CNNs to
cluster fine-art paintings using the extracted faces in the paintings, which
are found abundantly. A dataset consisting of over 80,000 paintings from over
1000 artists is chosen, and three separate face recognition and clustering
tasks are performed. The produced clusters are analyzed by the file names of
the paintings and the clusters are named by their majority artist, year range,
and style. The clusters are further analyzed and their performance metrics are
calculated. The study shows promising results as the artist, year, and styles
are clustered with an accuracy of 58.8, 63.7, and 81.3 percent, while the
clusters have an average purity of 63.1, 72.4, and 85.9 percent.",['cs.CV']
Morphological Network: How Far Can We Go with Morphological Neurons?,"In recent years, the idea of using morphological operations as networks has
received much attention. Mathematical morphology provides very efficient and
useful image processing and image analysis tools based on basic operators like
dilation and erosion, defined in terms of kernels. Many other morphological
operations are built up using the dilation and erosion operations. Although the
learning of structuring elements such as dilation or erosion using the
backpropagation algorithm is not new, the order and the way these morphological
operations are used is not standard. In this paper, we have theoretically
analyzed the use of morphological operations for processing 1D feature vectors
and shown that this gets extended to the 2D case in a simple manner. Our
theoretical results show that a morphological block represents a sum of hinge
functions. Hinge functions are used in many places for classification and
regression tasks (Breiman (1993)). We have also proved a universal
approximation theorem -- a stack of two morphological blocks can approximate
any continuous function over arbitrary compact sets. To experimentally validate
the efficacy of this network in real-life applications, we have evaluated its
performance on satellite image classification datasets since morphological
operations are very sensitive to geometrical shapes and structures. We have
also shown results on a few tasks like segmentation of blood vessels from
fundus images, segmentation of lungs from chest x-ray and image dehazing. The
results are encouraging and further establishes the potential of morphological
networks.","['cs.LG', 'cs.CV', 'cs.NE', 'stat.ML']"
Towards Robust Medical Image Segmentation on Small-Scale Data with Incomplete Labels,"The data-driven nature of deep learning models for semantic segmentation
requires a large number of pixel-level annotations. However, large-scale and
fully labeled medical datasets are often unavailable for practical tasks.
Recently, partially supervised methods have been proposed to utilize images
with incomplete labels to mitigate the data scarcity problem in the medical
domain. As an emerging research area, the breakthroughs made by existing
methods rely on either large-scale data or complex model design, which makes
them 1) less practical for certain real-life tasks and 2) less robust for
small-scale data. It is time to step back and think about the robustness of
partially supervised methods and how to maximally utilize small-scale and
partially labeled data for medical image segmentation tasks. To bridge the
methodological gaps in label-efficient deep learning with partial supervision,
we propose RAMP, a simple yet efficient data augmentation framework for
partially supervised medical image segmentation by exploiting the assumption
that patients share anatomical similarities. We systematically evaluate RAMP
and the previous methods in various controlled multi-structure segmentation
tasks. Compared to the mainstream approaches, RAMP consistently improves the
performance of traditional segmentation networks on small-scale partially
labeled data and utilize additional image-wise weak annotations.","['cs.CV', 'cs.LG', 'eess.IV']"
Vox2Vox: 3D-GAN for Brain Tumour Segmentation,"Gliomas are the most common primary brain malignancies, with different
degrees of aggressiveness, variable prognosis and various heterogeneous
histological sub-regions, i.e., peritumoral edema, necrotic core, enhancing and
non-enhancing tumour core. Although brain tumours can easily be detected using
multi-modal MRI, accurate tumor segmentation is a challenging task. Hence,
using the data provided by the BraTS Challenge 2020, we propose a 3D
volume-to-volume Generative Adversarial Network for segmentation of brain
tumours. The model, called Vox2Vox, generates realistic segmentation outputs
from multi-channel 3D MR images, segmenting the whole, core and enhancing tumor
with mean values of 87.20%, 81.14%, and 78.67% as dice scores and 6.44mm,
24.36mm, and 18.95mm for Hausdorff distance 95 percentile for the BraTS testing
set after ensembling 10 Vox2Vox models obtained with a 10-fold
cross-validation.","['cs.CV', 'cs.LG', 'eess.IV']"
PGL: Prior-Guided Local Self-supervised Learning for 3D Medical Image Segmentation,"It has been widely recognized that the success of deep learning in image
segmentation relies overwhelmingly on a myriad amount of densely annotated
training data, which, however, are difficult to obtain due to the tremendous
labor and expertise required, particularly for annotating 3D medical images.
Although self-supervised learning (SSL) has shown great potential to address
this issue, most SSL approaches focus only on image-level global consistency,
but ignore the local consistency which plays a pivotal role in capturing
structural information for dense prediction tasks such as segmentation. In this
paper, we propose a PriorGuided Local (PGL) self-supervised model that learns
the region-wise local consistency in the latent feature space. Specifically, we
use the spatial transformations, which produce different augmented views of the
same image, as a prior to deduce the location relation between two views, which
is then used to align the feature maps of the same local region but being
extracted on two views. Next, we construct a local consistency loss to minimize
the voxel-wise discrepancy between the aligned feature maps. Thus, our PGL
model learns the distinctive representations of local regions, and hence is
able to retain structural information. This ability is conducive to downstream
segmentation tasks. We conducted an extensive evaluation on four public
computerized tomography (CT) datasets that cover 11 kinds of major human organs
and two tumors. The results indicate that using pre-trained PGL model to
initialize a downstream network leads to a substantial performance improvement
over both random initialization and the initialization with global
consistency-based models. Code and pre-trained weights will be made available
at: https://git.io/PGL.",['cs.CV']
Multi-feature driven active contour segmentation model for infrared image with intensity inhomogeneity,"Infrared (IR) image segmentation is essential in many urban defence
applications, such as pedestrian surveillance, vehicle counting, security
monitoring, etc. Active contour model (ACM) is one of the most widely used
image segmentation tools at present, but the existing methods only utilize the
local or global single feature information of image to minimize the energy
function, which is easy to cause false segmentations in IR images. In this
paper, we propose a multi-feature driven active contour segmentation model to
handle IR images with intensity inhomogeneity. Firstly, an especially-designed
signed pressure force (SPF) function is constructed by combining the global
information calculated by global average gray information and the local
multi-feature information calculated by local entropy, local standard deviation
and gradient information. Then, we draw upon adaptive weight coefficient
calculated by local range to adjust the afore-mentioned global term and local
term. Next, the SPF function is substituted into the level set formulation
(LSF) for further evolution. Finally, the LSF converges after a finite number
of iterations, and the IR image segmentation result is obtained from the
corresponding convergence result. Experimental results demonstrate that the
presented method outperforms the state-of-the-art models in terms of precision
rate and overlapping rate in IR test images.",['cs.CV']
A comparative study of semi- and self-supervised semantic segmentation of biomedical microscopy data,"In recent years, Convolutional Neural Networks (CNNs) have become the
state-of-the-art method for biomedical image analysis. However, these networks
are usually trained in a supervised manner, requiring large amounts of labelled
training data. These labelled data sets are often difficult to acquire in the
biomedical domain. In this work, we validate alternative ways to train CNNs
with fewer labels for biomedical image segmentation using. We adapt two semi-
and self-supervised image classification methods and analyse their performance
for semantic segmentation of biomedical microscopy images.","['cs.CV', 'cs.AI', 'stat.AP']"
High-level Prior-based Loss Functions for Medical Image Segmentation: A Survey,"Today, deep convolutional neural networks (CNNs) have demonstrated state of
the art performance for supervised medical image segmentation, across various
imaging modalities and tasks. Despite early success, segmentation networks may
still generate anatomically aberrant segmentations, with holes or inaccuracies
near the object boundaries. To mitigate this effect, recent research works have
focused on incorporating spatial information or prior knowledge to enforce
anatomically plausible segmentation. If the integration of prior knowledge in
image segmentation is not a new topic in classical optimization approaches, it
is today an increasing trend in CNN based image segmentation, as shown by the
growing literature on the topic. In this survey, we focus on high level prior,
embedded at the loss function level. We categorize the articles according to
the nature of the prior: the object shape, size, topology, and the
inter-regions constraints. We highlight strengths and limitations of current
approaches, discuss the challenge related to the design and the integration of
prior-based losses, and the optimization strategies, and draw future research
directions.","['cs.CV', 'cs.LG']"
Segmentation overlapping wear particles with few labelled data and imbalance sample,"Ferrograph image segmentation is of significance for obtaining features of
wear particles. However, wear particles are usually overlapped in the form of
debris chains, which makes challenges to segment wear debris. An overlapping
wear particle segmentation network (OWPSNet) is proposed in this study to
segment the overlapped debris chains. The proposed deep learning model includes
three parts: a region segmentation network, an edge detection network and a
feature refine module. The region segmentation network is an improved U shape
network, and it is applied to separate the wear debris form background of
ferrograph image. The edge detection network is used to detect the edges of
wear particles. Then, the feature refine module combines low-level features and
high-level semantic features to obtain the final results. In order to solve the
problem of sample imbalance, we proposed a square dice loss function to
optimize the model. Finally, extensive experiments have been carried out on a
ferrograph image dataset. Results show that the proposed model is capable of
separating overlapping wear particles. Moreover, the proposed square dice loss
function can improve the segmentation results, especially for the segmentation
results of wear particle edge.",['cs.CV']
DoDNet: Learning to segment multi-organ and tumors from multiple partially labeled datasets,"Due to the intensive cost of labor and expertise in annotating 3D medical
images at a voxel level, most benchmark datasets are equipped with the
annotations of only one type of organs and/or tumors, resulting in the
so-called partially labeling issue. To address this, we propose a dynamic
on-demand network (DoDNet) that learns to segment multiple organs and tumors on
partially labeled datasets. DoDNet consists of a shared encoder-decoder
architecture, a task encoding module, a controller for generating dynamic
convolution filters, and a single but dynamic segmentation head. The
information of the current segmentation task is encoded as a task-aware prior
to tell the model what the task is expected to solve. Different from existing
approaches which fix kernels after training, the kernels in dynamic head are
generated adaptively by the controller, conditioned on both input image and
assigned task. Thus, DoDNet is able to segment multiple organs and tumors, as
done by multiple networks or a multi-head network, in a much efficient and
flexible manner. We have created a large-scale partially labeled dataset,
termed MOTS, and demonstrated the superior performance of our DoDNet over other
competitors on seven organ and tumor segmentation tasks. We also transferred
the weights pre-trained on MOTS to a downstream multi-organ segmentation task
and achieved state-of-the-art performance. This study provides a general 3D
medical image segmentation model that has been pre-trained on a large-scale
partially labelled dataset and can be extended (after fine-tuning) to
downstream volumetric medical data segmentation tasks. The dataset and code
areavailableat: https://git.io/DoDNet",['cs.CV']
Bidirectional RNN-based Few Shot Learning for 3D Medical Image Segmentation,"Segmentation of organs of interest in 3D medical images is necessary for
accurate diagnosis and longitudinal studies. Though recent advances using deep
learning have shown success for many segmentation tasks, large datasets are
required for high performance and the annotation process is both time consuming
and labor intensive. In this paper, we propose a 3D few shot segmentation
framework for accurate organ segmentation using limited training samples of the
target organ annotation. To achieve this, a U-Net like network is designed to
predict segmentation by learning the relationship between 2D slices of support
data and a query image, including a bidirectional gated recurrent unit (GRU)
that learns consistency of encoded features between adjacent slices. Also, we
introduce a transfer learning method to adapt the characteristics of the target
image and organ by updating the model before testing with arbitrary support and
query data sampled from the support data. We evaluate our proposed model using
three 3D CT datasets with annotations of different organs. Our model yielded
significantly improved performance over state-of-the-art few shot segmentation
models and was comparable to a fully supervised model trained with more target
training data.","['cs.CV', 'cs.AI']"
Dilated Convolutions with Lateral Inhibitions for Semantic Image Segmentation,"Dilated convolutions are widely used in deep semantic segmentation models as
they can enlarge the filters' receptive field without adding additional weights
nor sacrificing spatial resolution. However, as dilated convolutional filters
do not possess positional knowledge about the pixels on semantically meaningful
contours, they could lead to ambiguous predictions on object boundaries. In
addition, although dilating the filter can expand its receptive field, the
total number of sampled pixels remains unchanged, which usually comprises a
small fraction of the receptive field's total area. Inspired by the Lateral
Inhibition (LI) mechanisms in human visual systems, we propose the dilated
convolution with lateral inhibitions (LI-Convs) to overcome these limitations.
Introducing LI mechanisms improves the convolutional filter's sensitivity to
semantic object boundaries. Moreover, since LI-Convs also implicitly take the
pixels from the laterally inhibited zones into consideration, they can also
extract features at a denser scale. By integrating LI-Convs into the Deeplabv3+
architecture, we propose the Lateral Inhibited Atrous Spatial Pyramid Pooling
(LI-ASPP), the Lateral Inhibited MobileNet-V2 (LI-MNV2) and the Lateral
Inhibited ResNet (LI-ResNet). Experimental results on three benchmark datasets
(PASCAL VOC 2012, CelebAMask-HQ and ADE20K) show that our LI-based segmentation
models outperform the baseline on all of them, thus verify the effectiveness
and generality of the proposed LI-Convs.",['cs.CV']
Enforcing Perceptual Consistency on Generative Adversarial Networks by Using the Normalised Laplacian Pyramid Distance,"In recent years there has been a growing interest in image generation through
deep learning. While an important part of the evaluation of the generated
images usually involves visual inspection, the inclusion of human perception as
a factor in the training process is often overlooked. In this paper we propose
an alternative perceptual regulariser for image-to-image translation using
conditional generative adversarial networks (cGANs). To do so automatically
(avoiding visual inspection), we use the Normalised Laplacian Pyramid Distance
(NLPD) to measure the perceptual similarity between the generated image and the
original image. The NLPD is based on the principle of normalising the value of
coefficients with respect to a local estimate of mean energy at different
scales and has already been successfully tested in different experiments
involving human perception. We compare this regulariser with the originally
proposed L1 distance and note that when using NLPD the generated images contain
more realistic values for both local and global contrast. We found that using
NLPD as a regulariser improves image segmentation accuracy on generated images
as well as improving two no-reference image quality metrics.","['cs.CV', 'cs.LG', 'eess.IV', 'stat.ML']"
